"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","1350","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unidentified"
"2","1279","Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","unidentified"
"3","561","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","unidentified"
"4","1716","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","unidentified"
"5","9605","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","unidentified"
"6","204475","Bacteria","Bacillota","Clostridia","Eubacteriales","unidentified","Gemmiger","unidentified"
"7","unknow.1","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage P4 - no_g_rank"
"8","210425","Eukaryota","Chordata","Amphibia","Caudata","Proteidae","Proteus","unidentified"
"9","84111","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","unidentified"
"10","29465","Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","unidentified"
"11","1501226","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","unidentified"
"12","542960","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Uetakevirus","unidentified"
"13","186794","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Lederbergvirus","unidentified"
"14","1649","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Kurthia","unidentified"
"15","2803850","Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","unidentified"
"16","1506553","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","unidentified"
"17","140410","Viruses","Uroviricota","Caudoviricetes","unidentified","Peduoviridae","Peduovirus","unidentified"
"18","572511","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","unidentified"
"19","1375","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","unidentified"
"20","1301","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","unidentified"
"21","292632","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Subdoligranulum","unidentified"
"22","1769710","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sellimonas","unidentified"
"23","unknow.2","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Erysipelatoclostridium"
"24","191303","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","unidentified"
"25","3025755","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia","unidentified"
"26","unknow.3","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9580"
"27","unknow.4","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB15717"
"28","207244","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","unidentified"
"29","2169654","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Hendrixvirus","unidentified"
"30","unknow.5","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9453"
"31","1623299","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Phifelvirus","unidentified"
"32","unknow.6","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3583"
"33","unknow.7","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB42690"
"34","1357","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unidentified"
"35","216851","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","unidentified"
"36","unknow.8","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB4729"
"37","13075","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Globicatella","unidentified"
"38","570","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","unidentified"
"39","946234","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","unidentified"
"40","1485","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","unidentified"
"41","unknow.9","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterococcus phage EFC-1 - no_g_rank"
"42","286","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unidentified"
"43","unknow.10","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB4571"
"44","unknow.11","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB80009"
"45","unknow.12","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3510"
"46","1243","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","unidentified"
"47","160674","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","unidentified"
"48","2717089","Bacteria","Bacillota","Clostridia","Eubacteriales","unidentified","Massilistercora","unidentified"
"49","1883","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","unidentified"
"50","508215","Eukaryota","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Rothia","unidentified"
"51","1918454","Bacteria","Bacillota","Clostridia","Eubacteriales","unidentified","Flintibacter","unidentified"
"52","2719231","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","unidentified"
"53","unknow.13","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterococcus phage vB_EfaS_IME197 - no_g_rank"
"54","unknow.14","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3444"
"55","1623283","Viruses","Uroviricota","Caudoviricetes","unidentified","Casjensviridae","Chivirus","unidentified"
"56","unknow.15","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3057"
"57","1578","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unidentified"
"58","1980693","Bacteria","Bacillota","unidentified","unidentified","unidentified","Negativibacillus","unidentified"
"59","469","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","unidentified"
"60","1017280","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","unidentified"
"61","2591381","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","unidentified"
"62","1905344","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","unidentified"
"63","unknow.16","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterococcus phage phiEf11 - no_g_rank"
"64","1870884","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","unidentified"
"65","2316020","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","unidentified"
"66","841","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","unidentified"
"67","55087","Eukaryota","Arthropoda","Insecta","Phasmatodea","Bacillidae","Bacillus","unidentified"
"68","unknow.17","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB42689"
"69","1924110","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota","unidentified"
"70","644652","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","unidentified"
"71","2719313","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","unidentified"
"72","1623274","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Biseptimavirus","unidentified"
"73","544","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","unidentified"
"74","unknow.18","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9623"
"75","990721","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","unidentified"
"76","unknow.19","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage SfI - no_g_rank"
"77","unknow.20","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage cdtI - no_g_rank"
"78","963","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","unidentified"
"79","117563","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","unidentified"
"80","186765","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Lambdavirus","unidentified"
"81","unknow.21","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage mEp460 - no_g_rank"
"82","1742989","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Glutamicibacter","unidentified"
"83","4930","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","unidentified"
"84","1730","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","unidentified"
"85","590","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","unidentified"
"86","46255","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","unidentified"
"87","44249","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","unidentified"
"88","1573534","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","unidentified"
"89","33042","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","unidentified"
"90","620","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","unidentified"
"91","51668","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","unidentified"
"92","547","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","unidentified"
"93","459786","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","unidentified"
"94","2169643","Viruses","Uroviricota","Caudoviricetes","unidentified","Schitoviridae","Ithacavirus","unidentified"
"95","444888","Eukaryota","Arthropoda","Insecta","Mantodea","Amelidae","Yersinia","unidentified"
"96","unknow.22","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9719"
"97","unknow.23","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3678"
"98","unknow.24","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9619"
"99","69965","Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","unidentified"
"100","1263","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","unidentified"
"101","unknow.25","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage SfV - no_g_rank"
"102","1623298","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Phietavirus","unidentified"
"103","1392389","Bacteria","Bacillota","Clostridia","Eubacteriales","unidentified","Intestinimonas","unidentified"
"104","unknow.26","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3353"
"105","61170","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","unidentified"
"106","1849828","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium","unidentified"
"107","2732589","Viruses","Uroviricota","Caudoviricetes","unidentified","Rountreeviridae","Andhravirus","unidentified"
"108","unknow.27","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9620"
"109","57493","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria","unidentified"
"110","1918385","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acutalibacter","unidentified"
"111","2767887","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","unidentified"
"112","33882","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Microbacterium","unidentified"
"113","1678","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","unidentified"
"114","unknow.28","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB3534"
"115","228398","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptacidiphilus","unidentified"
"116","unknow.29","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Lactococcus phage 28201 - no_g_rank"
"117","unknow.30","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","GGB9469"
"118","1849822","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Paraclostridium","unidentified"
"119","2892397","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pusillibacter","unidentified"
"120","1649459","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","unidentified"
"121","662","Bacteria","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","unidentified"
"122","1981159","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Oslovirus","unidentified"
"123","2721119","Bacteria","Bacillota","Clostridia","unidentified","unidentified","Candidatus Pseudoruminococcus","unidentified"
"124","2721106","Bacteria","Bacillota","Clostridia","unidentified","unidentified","Candidatus Howiella","unidentified"
"125","1843210","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","unidentified"
"126","204037","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","unidentified"
"127","338","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","unidentified"
"128","2569097","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","unidentified"
"129","1763","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","unidentified"
"130","unknow.31","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Enterobacteria phage phi92 - no_g_rank"
"131","133925","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","unidentified"
"132","unknow.32","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Shigella phage SfIV - no_g_rank"
"133","1866885","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","unidentified"
"134","830","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","unidentified"
"135","374","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","unidentified"
"136","2749267","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacterium","unidentified"
"137","848","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","unidentified"
"138","1873","Bacteria","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Micromonospora","unidentified"
"139","2172004","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","unidentified"
"140","244127","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","unidentified"
"141","872","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","unidentified"
"142","194","Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unidentified"
"143","157","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","unidentified"
"144","1663","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","unidentified"
"145","1654","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","unidentified"
"146","1330547","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","unidentified"
"147","1637","Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","unidentified"
"148","2893057","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Shouchella","unidentified"
"149","83654","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","unidentified"
"150","52784","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum","unidentified"
"151","2743582","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter","unidentified"
"152","186789","Viruses","Uroviricota","Caudoviricetes","unidentified","unidentified","Punavirus","unidentified"
"153","1738645","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Caproiciproducens","unidentified"
"154","1839","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","unidentified"
"155","379","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","unidentified"
"156","237","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unidentified"
"157","2745","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","unidentified"
"158","1269","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus","unidentified"
"159","2747","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","unidentified"
"160","59732","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","unidentified"
"161","1661425","Eukaryota","Arthropoda","Insecta","Hemiptera","Coccidae","Rhodococcus","unidentified"
"162","32008","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","unidentified"
"163","2737","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","unidentified"
"164","1129","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus","unidentified"
"165","482","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","unidentified"
"166","43668","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermabacteraceae","Brachybacterium","unidentified"
"167","106589","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","unidentified"
"168","1817","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Nocardia","unidentified"
